country,iso3,year,latitude,longitude,conflict_type,deaths,conflict_type_label
Afghanistan,AFG,2015,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2015,33.93911,67.709953,intrastate,17310,Intrastate
Afghanistan,AFG,2015,33.93911,67.709953,non_state,532,Non-state
Afghanistan,AFG,2015,33.93911,67.709953,one_sided_violence,174,One-sided violence
Afghanistan,AFG,2016,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2016,33.93911,67.709953,intrastate,17985,Intrastate
Afghanistan,AFG,2016,33.93911,67.709953,non_state,665,Non-state
Afghanistan,AFG,2016,33.93911,67.709953,one_sided_violence,341,One-sided violence
Afghanistan,AFG,2017,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2017,33.93911,67.709953,intrastate,19019,Intrastate
Afghanistan,AFG,2017,33.93911,67.709953,non_state,412,Non-state
Afghanistan,AFG,2017,33.93911,67.709953,one_sided_violence,335,One-sided violence
Afghanistan,AFG,2018,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2018,33.93911,67.709953,intrastate,25676,Intrastate
Afghanistan,AFG,2018,33.93911,67.709953,non_state,631,Non-state
Afghanistan,AFG,2018,33.93911,67.709953,one_sided_violence,542,One-sided violence
Afghanistan,AFG,2019,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2019,33.93911,67.709953,intrastate,29942,Intrastate
Afghanistan,AFG,2019,33.93911,67.709953,non_state,113,Non-state
Afghanistan,AFG,2019,33.93911,67.709953,one_sided_violence,379,One-sided violence
Afghanistan,AFG,2020,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2020,33.93911,67.709953,intrastate,20475,Intrastate
Afghanistan,AFG,2020,33.93911,67.709953,non_state,0,Non-state
Afghanistan,AFG,2020,33.93911,67.709953,one_sided_violence,361,One-sided violence
Afghanistan,AFG,2021,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2021,33.93911,67.709953,intrastate,35787,Intrastate
Afghanistan,AFG,2021,33.93911,67.709953,non_state,0,Non-state
Afghanistan,AFG,2021,33.93911,67.709953,one_sided_violence,588,One-sided violence
Afghanistan,AFG,2022,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2022,33.93911,67.709953,intrastate,935,Intrastate
Afghanistan,AFG,2022,33.93911,67.709953,non_state,0,Non-state
Afghanistan,AFG,2022,33.93911,67.709953,one_sided_violence,642,One-sided violence
Afghanistan,AFG,2023,33.93911,67.709953,interstate,0,Interstate
Afghanistan,AFG,2023,33.93911,67.709953,intrastate,237,Intrastate
Afghanistan,AFG,2023,33.93911,67.709953,non_state,0,Non-state
Afghanistan,AFG,2023,33.93911,67.709953,one_sided_violence,108,One-sided violence
Afghanistan,AFG,2024,33.93911,67.709953,interstate,53,Interstate
Afghanistan,AFG,2024,33.93911,67.709953,intrastate,218,Intrastate
Afghanistan,AFG,2024,33.93911,67.709953,non_state,0,Non-state
Afghanistan,AFG,2024,33.93911,67.709953,one_sided_violence,90,One-sided violence
Albania,ALB,2015,41.153332,20.168331,interstate,0,Interstate
Albania,ALB,2015,41.153332,20.168331,intrastate,0,Intrastate
Albania,ALB,2015,41.153332,20.168331,non_state,0,Non-state
Albania,ALB,2015,41.153332,20.168331,one_sided_violence,0,One-sided violence
Albania,ALB,2016,41.153332,20.168331,interstate,0,Interstate
Albania,ALB,2016,41.153332,20.168331,intrastate,0,Intrastate
Albania,ALB,2016,41.153332,20.168331,non_state,0,Non-state
Albania,ALB,2016,41.153332,20.168331,one_sided_violence,0,One-sided violence
Albania,ALB,2017,41.153332,20.168331,interstate,0,Interstate
Albania,ALB,2017,41.153332,20.168331,intrastate,0,Intrastate
Albania,ALB,2017,41.153332,20.168331,non_state,0,Non-state
Albania,ALB,2017,41.153332,20.168331,one_sided_violence,0,One-sided violence
Albania,ALB,2018,41.153332,20.168331,interstate,0,Interstate
Albania,ALB,2018,41.153332,20.168331,intrastate,0,Intrastate
Albania,ALB,2018,41.153332,20.168331,non_state,0,Non-state
Albania,ALB,2018,41.153332,20.168331,one_sided_violence,0,One-sided violence
Albania,ALB,2019,41.153332,20.168331,interstate,0,Interstate
Albania,ALB,2019,41.153332,20.168331,intrastate,0,Intrastate
