country,iso3,year,latitude,longitude,total_deaths,civilian_deaths,combatant_deaths,unclear_deaths
Afghanistan,AFG,2015,33.93911,67.709953,18016,899,16136,981
Afghanistan,AFG,2016,33.93911,67.709953,18991,1067,17471,453
Afghanistan,AFG,2017,33.93911,67.709953,19766,1052,18318,396
Afghanistan,AFG,2018,33.93911,67.709953,26849,1839,24155,855
Afghanistan,AFG,2019,33.93911,67.709953,30434,1756,28385,293
Afghanistan,AFG,2020,33.93911,67.709953,20836,1663,19042,131
Afghanistan,AFG,2021,33.93911,67.709953,36375,1748,34341,286
Afghanistan,AFG,2022,33.93911,67.709953,1577,719,784,74
Afghanistan,AFG,2023,33.93911,67.709953,345,125,183,37
Afghanistan,AFG,2024,33.93911,67.709953,361,163,162,36
Albania,ALB,2015,41.153332,20.168331,0,0,0,0
Albania,ALB,2016,41.153332,20.168331,0,0,0,0
Albania,ALB,2017,41.153332,20.168331,0,0,0,0
Albania,ALB,2018,41.153332,20.168331,0,0,0,0
Albania,ALB,2019,41.153332,20.168331,0,0,0,0
Albania,ALB,2020,41.153332,20.168331,0,0,0,0
Albania,ALB,2021,41.153332,20.168331,0,0,0,0
Albania,ALB,2022,41.153332,20.168331,0,0,0,0
Albania,ALB,2023,41.153332,20.168331,0,0,0,0
Albania,ALB,2024,41.153332,20.168331,0,0,0,0
Algeria,DZA,2015,28.033886,1.659626,110,1,109,0
Algeria,DZA,2016,28.033886,1.659626,85,0,85,0
Algeria,DZA,2017,28.033886,1.659626,98,16,60,22
Algeria,DZA,2018,28.033886,1.659626,33,0,32,1
Algeria,DZA,2019,28.033886,1.659626,0,0,0,0
Algeria,DZA,2020,28.033886,1.659626,26,0,26,0
Algeria,DZA,2021,28.033886,1.659626,0,0,0,0
Algeria,DZA,2022,28.033886,1.659626,0,0,0,0
Algeria,DZA,2023,28.033886,1.659626,0,0,0,0
Algeria,DZA,2024,28.033886,1.659626,0,0,0,0
Andorra,AND,2015,42.546245,1.601554,0,0,0,0
Andorra,AND,2016,42.546245,1.601554,0,0,0,0
Andorra,AND,2017,42.546245,1.601554,0,0,0,0
Andorra,AND,2018,42.546245,1.601554,0,0,0,0
Andorra,AND,2019,42.546245,1.601554,0,0,0,0
Andorra,AND,2020,42.546245,1.601554,0,0,0,0
Andorra,AND,2021,42.546245,1.601554,0,0,0,0
Andorra,AND,2022,42.546245,1.601554,0,0,0,0
Andorra,AND,2023,42.546245,1.601554,0,0,0,0
Andorra,AND,2024,42.546245,1.601554,0,0,0,0
Angola,AGO,2015,-11.202692,17.873887,0,0,0,0
Angola,AGO,2016,-11.202692,17.873887,23,0,7,16
Angola,AGO,2017,-11.202692,17.873887,25,0,16,9
Angola,AGO,2018,-11.202692,17.873887,0,0,0,0
Angola,AGO,2019,-11.202692,17.873887,25,0,10,15
Angola,AGO,2020,-11.202692,17.873887,21,0,7,14
Angola,AGO,2021,-11.202692,17.873887,0,0,0,0
Angola,AGO,2022,-11.202692,17.873887,20,0,1,19
Angola,AGO,2023,-11.202692,17.873887,0,0,0,0
Angola,AGO,2024,-11.202692,17.873887,25,2,8,15
Antigua and Barbuda,ATG,2015,17.060816,-61.796428,0,0,0,0
Antigua and Barbuda,ATG,2016,17.060816,-61.796428,0,0,0,0
Antigua and Barbuda,ATG,2017,17.060816,-61.796428,0,0,0,0
Antigua and Barbuda,ATG,2018,17.060816,-61.796428,0,0,0,0
