country,iso3,latitude,longitude,total_deaths_2015_2024,civilian_deaths_2015_2024,combatant_deaths_2015_2024,civilian_share_pct,peak_year,peak_year_deaths,years_with_conflict
Ethiopia,ETH,9.145,40.489673,327642,14267,303486,4.4,2022,164991,10
Ukraine,UKR,48.379433,31.16558,240109,24787,197221,10.3,2022,92608,10
Syria,SYR,34.802075,38.996815,199674,54689,134143,27.4,2015,59544,10
Afghanistan,AFG,33.93911,67.709953,173550,11031,158977,6.4,2021,36375,10
Mexico,MEX,23.634501,-102.552784,102687,685,1024,0.7,2021,15020,10
Yemen,YEM,15.552727,48.516388,58859,7961,44495,13.5,2021,23441,10
Palestine,PSE,31.952162,35.233154,47963,27729,956,57.8,2023,26129,6
Iraq,IRQ,33.223191,43.679291,41027,12731,26385,31.0,2016,12038,10
Nigeria,NGA,9.081999,8.675277,37622,8489,23887,22.6,2015,9093,10
Democratic Republic of Congo,COD,-4.038333,21.758664,34988,19892,9978,56.9,2017,5822,10
Somalia,SOM,5.152149,46.199616,24064,2535,18488,10.5,2023,4175,10
Sudan,SDN,12.862807,30.217636,22947,9394,3877,40.9,2023,7754,10
Brazil,BRA,-14.235004,-51.92528,18318,677,950,3.7,2017,3045,10
Burkina Faso,BFA,12.238333,-1.561593,17168,6763,9801,39.4,2023,6132,9
Myanmar,MMR,21.913965,95.956223,14409,8399,4639,58.3,2023,3035,10
Mali,MLI,17.570692,-3.996166,13705,5270,7206,38.5,2022,3638,10
Pakistan,PAK,30.375321,69.345116,9697,1996,7256,20.6,2015,2366,10
Azerbaijan,AZE,40.143105,47.576927,8498,200,8249,2.4,2020,7636,7
South Sudan,SSD,6.877,31.307,8492,2197,1388,25.9,2016,1289,10
Russia,RUS,61.52401,105.318756,8379,538,7826,6.4,2024,7814,9
Libya,LBY,26.3351,17.228331,8113,878,5426,10.8,2016,2325,7
Cameroon,CMR,7.369722,12.354722,7139,2801,3662,39.2,2015,1263,10
Central African Republic,CAF,6.611111,20.939444,7059,3452,1570,48.9,2017,1756,10
India,IND,20.593684,78.96288,6083,1087,4804,17.9,2018,899,10
Niger,NER,17.607789,8.081666,6053,2048,3800,33.8,2024,1221,10
Mozambique,MOZ,-18.665695,35.529562,5858,3084,2362,52.6,2021,1918,8
Lebanon,LBN,33.854721,35.862285,4987,1057,1570,21.2,2024,4335,5
Philippines,PHL,12.879721,121.774017,4940,295,4570,6.0,2017,1690,10
Egypt,EGY,26.820553,30.802498,4542,883,3634,19.4,2015,991,8
Turkey,TUR,38.963745,35.243322,4345,644,3588,14.8,2016,1521,10
Colombia,COL,4.570868,-74.297333,2312,950,983,41.1,2024,576,10
Haiti,HTI,18.971187,-72.285215,2262,1612,239,71.3,2024,1257,6
Chad,TCD,15.454166,18.732207,2210,272,1727,12.3,2021,666,10
Kenya,KEN,-0.023559,37.906193,1514,473,732,31.2,2015,374,10
Congo,COG,-0.228021,15.827659,1428,346,559,24.2,2018,696,5
Israel,ISR,31.046051,34.851612,1374,718,486,52.3,2023,1295,4
Ecuador,ECU,-1.831239,-78.183406,1208,52,33,4.3,2023,536,5
Iran,IRN,32.427908,53.688046,1121,789,322,70.4,2019,286,9
Burundi,BDI,-3.373056,29.918886,1007,659,342,65.4,2015,265,10
Bangladesh,BGD,23.684994,90.356331,486,53,113,10.9,2024,355,6
Thailand,THA,15.870032,100.992541,471,92,370,19.5,2015,84,10
Venezuela,VEN,6.42375,-66.58973,366,354,3,96.7,2018,94,8
Algeria,DZA,28.033886,1.659626,352,17,312,4.8,2015,110,5
Saudi Arabia,SAU,23.885942,45.079162,334,89,231,26.6,2016,125,7
Indonesia,IDN,-0.789275,113.921327,334,100,216,29.9,2023,87,7
Papua New Guinea,PNG,-6.314993,143.95555,302,26,149,8.6,2024,130,4
France,FRA,46.227638,2.213749,283,232,6,82.0,2015,133,5
Sri Lanka,LKA,7.873054,80.771797,255,255,0,100.0,2019,255,1
Tajikistan,TJK,38.861034,71.276093,217,47,119,21.7,2022,95,4
Armenia,ARM,40.069099,45.038189,207,12,193,5.8,2022,154,6
Honduras,HND,15.199999,-86.241905,206,0,46,0.0,2023,102,3
Togo,TGO,8.619543,0.824782,206,124,80,60.2,2023,76,3
Tunisia,TUN,33.886917,9.537499,189,67,122,35.4,2015,118,2
Benin,BEN,9.30769,2.315834,160,39,115,24.4,2024,83,4
Angola,AGO,-11.202692,17.873887,139,2,49,1.4,2024,25,6
South Africa,ZAF,-30.559482,22.937506,124,1,48,0.8,2021,123,2
Uganda,UGA,1.373333,32.290275,112,58,24,51.8,2023,57,3
Kyrgyzstan,KGZ,41.20438,74.766098,94,34,40,36.2,2022,55,2
El Salvador,SLV,13.794185,-88.89653,88,0,0,0.0,2022,88,1
Rwanda,RWA,-1.940278,29.873888,60,37,23,61.7,2016,27,5
Cote d'Ivoire,CIV,7.539989,-5.54708,49,16,0,32.7,2016,49,1
Eswatini,SWZ,-26.522503,31.465866,48,48,0,100.0,2021,48,1
Tanzania,TZA,-6.369028,34.888822,44,40,4,90.9,2020,25,4
Jordan,JOR,30.585164,36.238414,41,4,34,9.8,2016,37,3
Belgium,BEL,50.503887,4.469936,40,35,5,87.5,2016,34,3
Eritrea,ERI,15.179384,39.782334,35,30,0,85.7,2021,30,2
Guinea,GIN,9.945587,-9.696645,30,0,0,0.0,2020,30,1
United States,USA,37.09024,-95.712891,27,22,4,81.5,2015,14,4
Kuwait,KWT,29.31166,47.481766,26,26,0,100.0,2015,26,1
Guatemala,GTM,15.783471,-90.230759,25,21,0,84.0,2024,25,1
Spain,ESP,40.463667,-3.74922,18,16,2,88.9,2017,16,2
Germany,DEU,51.165691,10.451526,15,15,0,100.0,2016,12,2
Djibouti,DJI,11.825138,42.590275,6,0,6,0.0,2018,6,1
China,CHN,35.86166,104.195397,6,6,0,100.0,2015,5,2
Peru,PER,-9.189967,-75.015152,5,0,0,0.0,2020,5,1
Sweden,SWE,60.128161,18.643501,5,5,0,100.0,2017,5,1
Bolivia,BOL,-16.290154,-63.588653,4,0,2,0.0,2023,1,4
Austria,AUT,47.516231,14.550072,4,4,0,100.0,2020,4,1
United Kingdom,GBR,55.378051,-3.435973,3,2,1,66.7,2019,3,1
Mauritania,MRT,21.00789,-10.940835,3,3,0,100.0,2024,3,1
United Arab Emirates,ARE,23.424076,53.847818,3,3,0,100.0,2022,3,1
Malaysia,MYS,4.210484,101.975766,2,0,2,0.0,2017,2,1
Poland,POL,51.919438,19.145136,2,2,0,100.0,2022,2,1
Australia,AUS,-25.274398,133.775136,2,1,1,50.0,2018,2,1
Georgia,GEO,42.315407,43.356892,1,1,0,100.0,2023,1,1
Ghana,GHA,7.946527,-1.023194,1,1,0,100.0,2023,1,1
Paraguay,PRY,-23.442503,-58.443832,1,0,0,0.0,2016,1,1
Gabon,GAB,-0.803689,11.609444,0,0,0,,2015,0,0
Gambia,GMB,13.443182,-15.310139,0,0,0,,2015,0,0
Greenland,GRL,71.706936,-42.604303,0,0,0,,2015,0,0
Greece,GRC,39.074208,21.824312,0,0,0,,2015,0,0
Bahamas,BHS,25.03428,-77.39628,0,0,0,,2015,0,0
Bahrain,BHR,25.930414,50.637772,0,0,0,,2015,0,0
Cambodia,KHM,12.565679,104.990963,0,0,0,,2015,0,0
Bulgaria,BGR,42.733883,25.48583,0,0,0,,2015,0,0
Botswana,BWA,-22.328474,24.684866,0,0,0,,2015,0,0
Brunei,BRN,4.535277,114.727669,0,0,0,,2015,0,0
Bosnia and Herzegovina,BIH,43.915886,17.679076,0,0,0,,2015,0,0
Canada,CAN,56.130366,-106.346771,0,0,0,,2015,0,0
Cape Verde,CPV,16.002082,-24.013197,0,0,0,,2015,0,0
Chile,CHL,-35.675147,-71.542969,0,0,0,,2024,0,0
Belize,BLZ,17.189877,-88.49765,0,0,0,,2015,0,0
Bhutan,BTN,27.514162,90.433601,0,0,0,,2015,0,0
Albania,ALB,41.153332,20.168331,0,0,0,,2023,0,0
Andorra,AND,42.546245,1.601554,0,0,0,,2015,0,0
Estonia,EST,58.595272,25.013607,0,0,0,,2015,0,0
Equatorial Guinea,GNQ,1.650801,10.267895,0,0,0,,2015,0,0
Fiji,FJI,-16.578193,179.414413,0,0,0,,2015,0,0
Finland,FIN,61.92411,25.748151,0,0,0,,2015,0,0
Czechia,CZE,49.817492,15.472962,0,0,0,,2015,0,0
Cyprus,CYP,35.126413,33.429859,0,0,0,,2015,0,0
Cuba,CUB,21.521757,-77.781167,0,0,0,,2015,0,0
Croatia,HRV,45.1,15.2,0,0,0,,2015,0,0
Dominica,DMA,15.414999,-61.370976,0,0,0,,2015,0,0
Denmark,DNK,56.26392,9.501785,0,0,0,,2015,0,0
East Timor,TLS,-8.874217,125.727539,0,0,0,,2015,0,0
Dominican Republic,DOM,18.735693,-70.162651,0,0,0,,2015,0,0
Costa Rica,CRI,9.748917,-83.753428,0,0,0,,2015,0,0
Comoros,COM,-11.875001,43.872219,0,0,0,,2015,0,0
Barbados,BRB,13.193887,-59.543198,0,0,0,,2015,0,0
Belarus,BLR,53.709807,27.953389,0,0,0,,2015,0,0
Antigua and Barbuda,ATG,17.060816,-61.796428,0,0,0,,2015,0,0
Argentina,ARG,-38.416097,-63.616672,0,0,0,,2015,0,0
Liechtenstein,LIE,47.166,9.555373,0,0,0,,2015,0,0
Liberia,LBR,6.428055,-9.429499,0,0,0,,2015,0,0
Italy,ITA,41.87194,12.56738,0,0,0,,2015,0,0
Ireland,IRL,53.41291,-8.24389,0,0,0,,2015,0,0
Iceland,ISL,64.963051,-19.020835,0,0,0,,2015,0,0
Hungary,HUN,47.162494,19.503304,0,0,0,,2015,0,0
Guinea-Bissau,GNB,11.803749,-15.180413,0,0,0,,2015,0,0
Grenada,GRD,12.262776,-61.604171,0,0,0,,2015,0,0
Kazakhstan,KAZ,48.019573,66.923684,0,0,0,,2015,0,0
Guyana,GUY,4.860416,-58.93018,0,0,0,,2015,0,0
Oman,OMN,21.512583,55.923255,0,0,0,,2015,0,0
Norway,NOR,60.472024,8.468946,0,0,0,,2015,0,0
North Macedonia,MKD,41.608635,21.745275,0,0,0,,2015,0,0
North Korea,PRK,40.339852,127.510093,0,0,0,,2015,0,0
Nicaragua,NIC,12.865416,-85.207229,0,0,0,,2015,0,0
Nepal,NPL,28.394857,84.124008,0,0,0,,2015,0,0
Netherlands,NLD,52.132633,5.291266,0,0,0,,2015,0,0
New Zealand,NZL,-40.900557,174.885971,0,0,0,,2015,0,0
Namibia,NAM,-22.9576,18.4904,0,0,0,,2015,0,0
Morocco,MAR,31.791702,-7.09262,0,0,0,,2015,0,0
Nauru,NRU,-0.522778,166.931503,0,0,0,,2015,0,0
Mauritius,MUS,-20.348404,57.552152,0,0,0,,2015,0,0
Moldova,MDA,47.411631,28.369885,0,0,0,,2015,0,0
Monaco,MCO,43.750298,7.412841,0,0,0,,2015,0,0
Mongolia,MNG,46.862496,103.846656,0,0,0,,2015,0,0
Montenegro,MNE,42.708678,19.37439,0,0,0,,2015,0,0
Luxembourg,LUX,49.815273,6.129583,0,0,0,,2015,0,0
Lithuania,LTU,55.169438,23.881275,0,0,0,,2015,0,0
Madagascar,MDG,-18.766947,46.869107,0,0,0,,2015,0,0
Malawi,MWI,-13.254308,34.301525,0,0,0,,2015,0,0
Maldives,MDV,3.202778,73.22068,0,0,0,,2015,0,0
Marshall Islands,MHL,7.131474,171.184478,0,0,0,,2015,0,0
Malta,MLT,35.937496,14.375416,0,0,0,,2015,0,0
Jamaica,JAM,18.109581,-77.297508,0,0,0,,2015,0,0
Kosovo,KOS,42.6026,20.903,0,0,0,,2015,0,0
Kiribati,KIR,-3.370417,-168.734039,0,0,0,,2015,0,0
Japan,JPN,36.204824,138.252924,0,0,0,,2015,0,0
Laos,LAO,19.85627,102.495496,0,0,0,,2015,0,0
Latvia,LVA,56.879635,24.603189,0,0,0,,2015,0,0
Lesotho,LSO,-29.609988,28.233608,0,0,0,,2015,0,0
Palau,PLW,7.51498,134.58252,0,0,0,,2015,0,0
Panama,PAN,8.537981,-80.782127,0,0,0,,2015,0,0
South Korea,KOR,35.907757,127.766922,0,0,0,,2015,0,0
Slovakia,SVK,48.669026,19.699024,0,0,0,,2015,0,0
Slovenia,SVN,46.151241,14.995463,0,0,0,,2015,0,0
Solomon Islands,SLB,-9.64571,160.156194,0,0,0,,2015,0,0
Singapore,SGP,1.352083,103.819836,0,0,0,,2015,0,0
Serbia,SRB,44.016521,21.005859,0,0,0,,2015,0,0
Seychelles,SYC,-4.679574,55.491977,0,0,0,,2015,0,0
Sierra Leone,SLE,8.460555,-11.779889,0,0,0,,2015,0,0
Sao Tome and Principe,STP,0.18636,6.613081,0,0,0,,2015,0,0
